! CHEMKIN Transport Properties
! Species         Geom  Well-Depth  Diameter  Dipole  Polariz.  Rot.Relax
C                  0      71.400     3.300     0.000     0.000     0.000
CH2O               2     498.000     3.590     0.000     0.000     2.000
CH3                1     144.000     3.800     0.000     0.000     0.000
CH3NHNH2           1      77.230     2.900     0.000     0.000     0.000
CH3NN              1      77.230     2.900     0.000     0.000     0.000
CH3NNH             1      77.230     2.900     0.000     0.000     0.000
CH3NNH2            1      77.230     2.900     0.000     0.000     0.000
CH3NO2             1      79.330     2.860     0.000     0.000     0.000
CH3O               2     417.000     3.690     1.700     0.000     2.000
CH4                2     141.400     3.750     0.000     2.600    13.000
CO                 1      98.100     3.650     0.000     1.950     1.800
CO2                1     244.000     3.760     0.000     2.650     2.100
H                  0     145.000     2.050     0.000     0.000     0.000
H2                 1      38.000     2.920     0.000     0.790   280.000
H2O                2     572.400     2.600     1.840     0.000     4.000
HCN                1     569.000     3.630     0.000     0.000     1.000
HCO                2     498.000     3.590     0.000     0.000     0.000
HNO                2     116.700     3.490     0.000     0.000     1.000
HONO               1      83.960     2.720     0.000     0.000     0.000
N                  0      71.400     3.300     0.000     0.000     0.000
N2                 1      97.530     3.620     0.000     1.760     4.000
N2O                1     232.400     3.830     0.000     0.000     1.000
N2O4               1      72.540     3.030     0.000     0.000     0.000
NH                 1      80.000     2.650     0.000     0.000     4.000
NO                 1      97.530     3.620     0.000     1.760     4.000
NO2                2     200.000     3.500     0.000     0.000     1.000
O                  0      80.000     2.750     0.000     0.000     0.000
O2                 1     107.400     3.460     0.000     1.600     3.800
OH                 1      80.000     2.750     0.000     0.000     0.000
